High income,HIC,Forest area (sq. km),10510106.5,10512924.966
"Hong Kong SAR, China",HKG,Forest area (sq. km),,
Honduras,HND,Forest area (sq. km),63592.6,63383.1
Heavily indebted poor countries (HIPC),HPC,Forest area (sq. km),5257492.2,5223933.112
Croatia,HRV,Forest area (sq. km),19391.1,19416.1
Haiti,HTI,Forest area (sq. km),3473,3441.9
Hungary,HUN,Forest area (sq. km),20530.1,20515.567
IBRD only,IBD,Forest area (sq. km),24089762.4,24076903.258
IDA & IBRD total,IBT,Forest area (sq. km),30511789.4,30460343.37
IDA total,IDA,Forest area (sq. km),6422027,6383440.112
IDA blend,IDB,Forest area (sq. km),1304621.4,1301383.2
Indonesia,IDN,Forest area (sq. km),921332,915276.633
IDA only,IDX,Forest area (sq. km),5117405.6,5082056.912
Isle of Man,IMN,Forest area (sq. km),34.6,34.6
India,IND,Forest area (sq. km),721600,724264
Not classified,INX,Forest area (sq. km),,
Ireland,IRL,Forest area (sq. km),7820.2,7860.2
"Iran, Islamic Rep.",IRN,Forest area (sq. km),107518.7,107656.3
Iraq,IRQ,Forest area (sq. km),8250,8250
Iceland,ISL,Forest area (sq. km),513.5,520.033
Israel,ISR,Forest area (sq. km),1400,1400
Italy,ITA,Forest area (sq. km),95661.3,96199.4
Jamaica,JAM,Forest area (sq. km),5968.9,6007.733
Jordan,JOR,Forest area (sq. km),975,975
Japan,JPN,Forest area (sq. km),249350,249350
Kazakhstan,KAZ,Forest area (sq. km),34546.8,34839.192
Kenya,KEN,Forest area (sq. km),36110.9,36110.9
Kyrgyz Republic,KGZ,Forest area (sq. km),13153.8,13336.2
Cambodia,KHM,Forest area (sq. km),80683.7,79126.8
Kiribati,KIR,Forest area (sq. km),11.8,11.8
St. Kitts and Nevis,KNA,Forest area (sq. km),110,110
"Korea, Rep.",KOR,Forest area (sq. km),62870,62770
Kuwait,KWT,Forest area (sq. km),62.5,62.5
Latin America & Caribbean (excluding high income),LAC,Forest area (sq. km),8416226.6,8390933.967
Lao PDR,LAO,Forest area (sq. km),165955,165610
Lebanon,LBN,Forest area (sq. km),1433.3,1439.3
Liberia,LBR,Forest area (sq. km),76174.4,75871.8
Libya,LBY,Forest area (sq. km),2170,2170
St. Lucia,LCA,Forest area (sq. km),207.7,207.7
Latin America & Caribbean,LCN,Forest area (sq. km),9320331.1,9295696.966
Least developed countries: UN classification,LDC,Forest area (sq. km),5352026.5,5313315.012
Low income,LIC,Forest area (sq. km),2991863.4,2971258.246
Liechtenstein,LIE,Forest area (sq. km),67,67
Sri Lanka,LKA,Forest area (sq. km),21130.2,21098.6
Lower middle income,LMC,Forest area (sq. km),5845811,5824151.499
Low & middle income,LMY,Forest area (sq. km),29527272.2,29474816.171
Lesotho,LSO,Forest area (sq. km),345.2,345.2
Late-demographic dividend,LTE,Forest area (sq. km),17600849.8,17607552.092
Lithuania,LTU,Forest area (sq. km),22010,22026.667
Luxembourg,LUX,Forest area (sq. km),887,887
Latvia,LVA,Forest area (sq. km),34107.9,34146.6
"Macao SAR, China",MAC,Forest area (sq. km),,
St. Martin (French part),MAF,Forest area (sq. km),12.4,12.4
Morocco,MAR,Forest area (sq. km),57424.9,57529.567
Monaco,MCO,Forest area (sq. km),0,0
Moldova,MDA,Forest area (sq. km),3865,3865
Madagascar,MDG,Forest area (sq. km),124298.1,124165.967
Maldives,MDV,Forest area (sq. km),8.2,8.2
Middle East & North Africa,MEA,Forest area (sq. km),230051.3,230408.466
Mexico,MEX,Forest area (sq. km),656920.8,655643.167
Marshall Islands,MHL,Forest area (sq. km),94,94
Middle income,MIC,Forest area (sq. km),26535408.8,26503557.925
North Macedonia,MKD,Forest area (sq. km),10014.9,10014.9
Mali,MLI,Forest area (sq. km),132960,132960
Malta,MLT,Forest area (sq. km),4.6,4.6
Myanmar,MMR,Forest area (sq. km),285438.9,282541.8
Middle East & North Africa (excluding high income),MNA,Forest area (sq. km),215609.2,215966.833
Montenegro,MNE,Forest area (sq. km),8270,8270
Mongolia,MNG,Forest area (sq. km),141727.8,141716.7
Northern Mariana Islands,MNP,Forest area (sq. km),243.6,243.6
Mozambique,MOZ,Forest area (sq. km),367437.6,364976.047
Mauritania,MRT,Forest area (sq. km),3128,3073.667
Mauritius,MUS,Forest area (sq. km),387.7,388.1
Malawi,MWI,Forest area (sq. km),22417,21997
Malaysia,MYS,Forest area (sq. km),191140.4,190638.9
North America,NAC,Forest area (sq. km),6567241,6566871.133
Namibia,NAM,Forest area (sq. km),66389,65678.9
New Caledonia,NCL,Forest area (sq. km),8380.2,8379.2
Niger,NER,Forest area (sq. km),10797,10672.8
Nigeria,NGA,Forest area (sq. km),216269.5,214636.5
Nicaragua,NIC,Forest area (sq. km),34075.3,33075.3
Netherlands,NLD,Forest area (sq. km),3695,3704.367
Norway,NOR,Forest area (sq. km),121800,121878
Nepal,NPL,Forest area (sq. km),59620.3,59620.3
Nauru,NRU,Forest area (sq. km),0,0
New Zealand,NZL,Forest area (sq. km),98925.9,99085.267
OECD members,OED,Forest area (sq. km),11632704,11633949.768
Oman,OMN,Forest area (sq. km),25,24.333
Other small states,OSS,Forest area (sq. km),583546.3,581326.999
Pakistan,PAK,Forest area (sq. km),37259,36845.6
Panama,PAN,Forest area (sq. km),42138.4,42024.233
Peru,PER,Forest area (sq. km),723303.7,721575.333
Philippines,PHL,Forest area (sq. km),71885.9,72234.8
Palau,PLW,Forest area (sq. km),414.1,414.9
Papua New Guinea,PNG,Forest area (sq. km),358557.6,358222.3
Poland,POL,Forest area (sq. km),94830,94950
Pre-demographic dividend,PRE,Forest area (sq. km),5242008.6,5205284.746
Puerto Rico,PRI,Forest area (sq. km),4963.3,4968.2
"Korea, Dem. People's Rep.",PRK,Forest area (sq. km),60300.9,60088.6
Portugal,PRT,Forest area (sq. km),33120,33120
Paraguay,PRY,Forest area (sq. km),161022.6,158229.267
West Bank and Gaza,PSE,Forest area (sq. km),101.4,101.4
Pacific island small states,PSS,Forest area (sq. km),43933.2,43989
Post-demographic dividend,PST,Forest area (sq. km),10064890.9,10066606.534
French Polynesia,PYF,Forest area (sq. km),1494.6,1494.6
Qatar,QAT,Forest area (sq. km),0,0
Romania,ROU,Forest area (sq. km),69290.5,69290.5
Russian Federation,RUS,Forest area (sq. km),8153116,8153116
Rwanda,RWA,Forest area (sq. km),2760,2770
South Asia,SAS,Forest area (sq. km),897786.9,900025.7
Saudi Arabia,SAU,Forest area (sq. km),9770,9770
Sudan,SDN,Forest area (sq. km),183595.5,181873.9
Senegal,SEN,Forest area (sq. km),80681.6,80281.6
Singapore,SGP,Forest area (sq. km),155.7,153.9
Solomon Islands,SLB,Forest area (sq. km),25229.7,25222.4
Sierra Leone,SLE,Forest area (sq. km),25348.8,25151.5
El Salvador,SLV,Forest area (sq. km),5838.8,5793.8
San Marino,SMR,Forest area (sq. km),10,10
Somalia,SOM,Forest area (sq. km),59800,59032.5
Serbia,SRB,Forest area (sq. km),27226.5,27229.4
Sub-Saharan Africa (excluding high income),SSA,Forest area (sq. km),6271638.7,6231453.779
South Sudan,SSD,Forest area (sq. km),71570,71570
Sub-Saharan Africa,SSF,Forest area (sq. km),6271975.7,6231790.779
Small states,SST,Forest area (sq. km),991118.7,988663.031
Sao Tome and Principe,STP,Forest area (sq. km),519,512.8
Suriname,SUR,Forest area (sq. km),151962.9,151840.433
Slovak Republic,SVK,Forest area (sq. km),19259,19259
Slovenia,SVN,Forest area (sq. km),12378.3,12357.933
Sweden,SWE,Forest area (sq. km),279800,279800
Eswatini,SWZ,Forest area (sq. km),4975.6,4987.7
Sint Maarten (Dutch part),SXM,Forest area (sq. km),3.7,3.7
Seychelles,SYC,Forest area (sq. km),337,337
Syrian Arab Republic,SYR,Forest area (sq. km),5220.8,5220.8
Turks and Caicos Islands,TCA,Forest area (sq. km),105.2,105.2
Chad,TCD,Forest area (sq. km),43130,42013.333
East Asia & Pacific (IDA & IBRD countries),TEA,Forest area (sq. km),4814808.2,4822691.333
Europe & Central Asia (IDA & IBRD countries),TEC,Forest area (sq. km),9034413.3,9037312.559
Togo,TGO,Forest area (sq. km),12092.7,12063.1
Thailand,THA,Forest area (sq. km),198730,198370
Tajikistan,TJK,Forest area (sq. km),4238,4248
Turkmenistan,TKM,Forest area (sq. km),41270,41270
Latin America & the Caribbean (IDA & IBRD countries),TLA,Forest area (sq. km),9277297.5,9252657.566
Timor-Leste,TLS,Forest area (sq. km),9211,9197
Middle East & North Africa (IDA & IBRD countries),TMN,Forest area (sq. km),215507.8,215865.433
Tonga,TON,Forest area (sq. km),89.5,89.5
South Asia (IDA & IBRD),TSA,Forest area (sq. km),897786.9,900025.7
Sub-Saharan Africa (IDA & IBRD countries),TSS,Forest area (sq. km),6271975.7,6231790.779
Trinidad and Tobago,TTO,Forest area (sq. km),2281.9,2277.7
Tunisia,TUN,Forest area (sq. km),7027.3,7042.6
Turkiye,TUR,Forest area (sq. km),222203.6,223763.6
Tuvalu,TUV,Forest area (sq. km),10,10
Tanzania,TZA,Forest area (sq. km),457450,452760
Uganda,UGA,Forest area (sq. km),23379,22966.433
Ukraine,UKR,Forest area (sq. km),96900,96960
Upper middle income,UMC,Forest area (sq. km),20689597.8,20679406.426
Uruguay,URY,Forest area (sq. km),20310,20520
United States,USA,Forest area (sq. km),3097950,3097950
Uzbekistan,UZB,Forest area (sq. km),36896.6,37155
St. Vincent and the Grenadines,VCT,Forest area (sq. km),285.4,285.4
"Venezuela, RB",VEN,Forest area (sq. km),462309,461733.6
British Virgin Islands,VGB,Forest area (sq. km),36.2,36.2
Virgin Islands (U.S.),VIR,Forest area (sq. km),199.1,200.6
Viet Nam,VNM,Forest area (sq. km),146430.9,147189.9
Vanuatu,VUT,Forest area (sq. km),4423,4423
World,WLD,Forest area (sq. km),40499687.7,40449474.737
Samoa,WSM,Forest area (sq. km),1616.7,1611.9
Kosovo,XKX,Forest area (sq. km),,
"Yemen, Rep.",YEM,Forest area (sq. km),5490,5490
South Africa,ZAF,Forest area (sq. km),170500.9,170136.9
Zambia,ZMB,Forest area (sq. km),448140.3,446258.133
Zimbabwe,ZWE,Forest area (sq. km),174445.8,173985.1
