Ghana,GHA,GDP (current US$),79524421861.2743,73766052451.5256
Gibraltar,GIB,GDP (current US$),,
Guinea,GIN,GDP (current US$),16091817842.1318,20999229260.4955
"Gambia, The",GMB,GDP (current US$),2038414968.60683,2187194563.48605
Guinea-Bissau,GNB,GDP (current US$),1638517606.89496,1633559092.08861
Equatorial Guinea,GNQ,GDP (current US$),12104994084.4108,12029633746.519
Greece,GRC,GDP (current US$),214667807441.202,217581324512.059
Grenada,GRD,GDP (current US$),1122800000,1215379155.67282
Greenland,GRL,GDP (current US$),3235809504.29871,
Guatemala,GTM,GDP (current US$),86053083476.0294,95003330315.8754
Guam,GUM,GDP (current US$),6123000000,
Guyana,GUY,GDP (current US$),8041362110.31175,14718388489.2086
High income,HIC,GDP (current US$),60197703636296.2,61667467133645.3
"Hong Kong SAR, China",HKG,GDP (current US$),368911387845.418,359838583490.063
Honduras,HND,GDP (current US$),28488721680.8502,31717699764.3621
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),901695869344.623,980688371242.572
Croatia,HRV,GDP (current US$),69081236641.2469,71600049650.195
Haiti,HTI,GDP (current US$),20877414952.6375,20253551884.6055
Hungary,HUN,GDP (current US$),182090041757.269,177337436677.365
IBRD only,IBD,GDP (current US$),35660094024046,37752366428370
IDA & IBRD total,IBT,GDP (current US$),38289419290330.6,40573962163607.5
IDA total,IDA,GDP (current US$),2630708113522.2,2822821779326.05
IDA blend,IDB,GDP (current US$),1097399972030.71,1175091814528.12
Indonesia,IDN,GDP (current US$),1186505455736.54,1319100220407.72
IDA only,IDX,GDP (current US$),1533308141491.49,1647744371550.23
Isle of Man,IMN,GDP (current US$),,
India,IND,GDP (current US$),3150306839142.13,3416645826052.87
Not classified,INX,GDP (current US$),,
Ireland,IRL,GDP (current US$),513391778882.86,533140011838.276
"Iran, Islamic Rep.",IRN,GDP (current US$),359096907772.985,413493207349.265
Iraq,IRQ,GDP (current US$),207691599310.345,264182173793.103
Iceland,ISL,GDP (current US$),25595940169.5879,28064529851.3098
Israel,ISR,GDP (current US$),488526545878.891,525002447652.773
Italy,ITA,GDP (current US$),2155360298998.03,2049737165407.98
Jamaica,JAM,GDP (current US$),14657586127.0331,17097760723.9201
Jordan,JOR,GDP (current US$),46296100140.8451,48653381780.6397
Japan,JPN,GDP (current US$),5005536736792.29,4232173916086.67
Kazakhstan,KAZ,GDP (current US$),197112255360.612,225496328925.494
Kenya,KEN,GDP (current US$),109703658904.994,113420008178.793
Kyrgyz Republic,KGZ,GDP (current US$),9249133946.26531,11543966558.842
Cambodia,KHM,GDP (current US$),26961061151.7337,29504829319.3169
Kiribati,KIR,GDP (current US$),227610079.145208,223353014.294593
St. Kitts and Nevis,KNA,GDP (current US$),858592592.592592,965638864.921867
"Korea, Rep.",KOR,GDP (current US$),1818432106880.04,1673916469026.56
Kuwait,KWT,GDP (current US$),137384258875.558,175363265306.122
